name,Rating,votes,location,cuisines,approx_cost(for two people)
Smoodys,3.0,14,Indiranagar,"Fast Food, Juices",350
BR Military Hotel,3.1,6,Indiranagar,South Indian,300
King Burger Cafeteria,3.1,11,Indiranagar,"Fast Food, Juices",250
Sri Vasavi Super Sandwich,3.1,19,Indiranagar,"Fast Food, Sandwich, Juices",200
Kerala Mess,3.6,33,Indiranagar,Kerala,300
Murphy's Brewhouse - The Paul Bangalore,4.3,2031,Domlur,"Continental, North Indian, Finger Food",1700
Vembanad - The Paul,4.2,325,Domlur,"Seafood, Kerala",1800
Gurukrupa Paratha House,3.1,330,Domlur,"North Indian, Chinese",500
The Velu's,3.6,12,Domlur,"Fast Food, Chinese",200
Chef Inn Regency,3.3,4,Domlur,"North Indian, Chinese, Andhra, Mangalorean",800
Vinny's,4.1,360,Domlur,"Burger, Desserts, Italian, Pizza, Salad",600
Masala Dani - The Paul,3.7,56,Domlur,"Mughlai, North Indian",1800
Quench Bar,4.0,108,Domlur,"Seafood, Mexican, Continental, Finger Food",1300
Malabar,3.0,159,Jeevan Bhima Nagar,"Kerala, Seafood, Biryani",400
Banana Leaf,3.5,12,Domlur,Andhra,500
Night Booze,3.2,8,Thippasandra,"North Indian, Fast Food",600
Sandras Bar & Restaurant,3.2,10,Thippasandra,North Indian,600
Sri Ganesh Fruit Juice Centre,3.6,17,Thippasandra,Juices,100
Serenitea4u,3.4,9,Jeevan Bhima Nagar,"Beverages, Fast Food",100
Haveli,3.6,22,Thippasandra,"North Indian, Chinese",300
Sri Krishna Sagar,3.6,64,Domlur,"South Indian, North Indian, Street Food, Chinese, Beverages",150
Chai Resto,3.3,5,Jeevan Bhima Nagar,"Fast Food, Tea",200
Faasos,4.1,110,Thippasandra,"North Indian, Biryani, Fast Food",500
Shri Krishna Bhavan,3.7,96,Thippasandra,"South Indian, Chinese, North Indian, Street Food",350
Momo Rice Noodles,3.2,84,Domlur,"Chinese, Momos",600
Neer Dose Fish Land,3.5,8,Domlur,"South Indian, North Indian, Seafood",250
Mary Cafe,3.3,17,Thippasandra,"Chinese, South Indian",150
Home Touch Hotel,3.2,4,Jeevan Bhima Nagar,"South Indian, Kerala",150
Biryani Palace,3.2,7,Jeevan Bhima Nagar,"Biryani, Fast Food",200
Krish Punjabi Kitchen,3.6,17,Thippasandra,North Indian,500
Donne Biryani Angadi Mane,3.1,8,Thippasandra,"Biryani, South Indian",250
Sri Lakshmi Darshini,3.4,5,Thippasandra,"South Indian, North Indian",150
Big Pitcher,4.7,9041,Old Airport Road,"American, Continental, North Indian, Mediterranean",1800
Yauatcha,4.6,2332,Mg Road,"Chinese, Asian, Cantonese, Tea",2800
Citrus - The Leela Palace,4.2,590,Old Airport Road,"North Indian, Italian, Asian, Continental, Mediterranean",3500
Caraway Kitchen - Conrad Bengaluru,4.3,147,Ulsoor,"American, Continental, North Indian, South Indian",2800
Jamavar - The Leela Palace,4.2,519,Old Airport Road,"North Indian, South Indian",4000
CloudNYN - Sterling Mac Hotel,4.1,403,Old Airport Road,Finger Food,1000
Limelight - Royal Orchid Hotel,4.0,421,Old Airport Road,"Continental, North Indian",2200
Tiamo - Conrad Bengaluru,4.2,139,Ulsoor,"Italian, Mediterranean",2500
Bangalore Pub Exchange,4.1,207,Mg Road,"Continental, Finger Food, Pizza, North Indian",1000
Zen - The Leela Palace,4.1,245,Old Airport Road,"Thai, Japanese, Chinese",3500
Tiger Trail - Royal Orchid Hotel,4.1,303,Old Airport Road,North Indian,2000
XU,4.0,427,Old Airport Road,"European, Spanish, Continental, Italian",2400
Smaaash,4.2,536,Mg Road,"North Indian, Pizza, Chinese",1500
Le Cirque Signature - The Leela Palace,4.3,126,Old Airport Road,"French, Italian",6000
Slo' Food Co.2,3.7,41,Ulsoor,"European, North Indian, South Indian, Seafood, Salad, Asian, Grill",2000
Ice - Taj MG Road Bengaluru,4.1,609,Mg Road,Continental,2800
Fort Kochi,4.1,334,Mg Road,"Kerala, Seafood",1800
Odia Dine,3.8,47,Old Airport Road,Oriya,400
New Udupi Garden,3.6,14,Old Airport Road,"South Indian, North Indian, Chinese",300
Polo Club - The Oberoi,4.1,115,Mg Road,"American, North Indian, European, Tex-Mex",3000
Library Bar - The Leela Palace,3.9,108,Old Airport Road,Finger Food,3000
The Punjabi Bites,3.9,82,Old Airport Road,North Indian,150
Mighty Small,4.1,258,Mg Road,"Continental, Chinese",1200
Kolkata Famous Kati Rolls,3.4,8,Old Airport Road,"Fast Food, Rolls",150
WAT Bar - Sterlings MAC Hotel,3.8,46,Old Airport Road,Continental,1800
Liquid Lounge - Hyatt Centric MG Road,4.0,91,Ulsoor,"Finger Food, Continental, Chinese",2400
The Spice Box,3.6,30,Old Airport Road,"North Indian, South Indian",800
Barista,3.5,12,Cv Raman Nagar,Cafe,300
7 Hills Andhra Mess,3.4,8,Cv Raman Nagar,Andhra,300
Drunken Monkey,3.1,14,Cv Raman Nagar,"Beverages, Fast Food",400
Food Of Punjab,3.7,19,Ulsoor,North Indian,200
RJ Food Plaza,3.1,6,Old Airport Road,"North Indian, Biryani",200
Daily Bread,3.0,5,Old Airport Road,"Bakery, Fast Food, Italian",600
S R Kabab Corner,3.4,6,Old Madras Road,"North Indian, Chinese",250
Kolkatta Famous Kati Rolls,3.2,15,Old Airport Road,"Chinese, Rolls",200
M.M.A Kababs Rolls & Biryani Center,2.7,67,Old Madras Road,"Mughlai, Chinese, Kebab",300
Jeff's - Royal Orchid Hotel,3.9,73,Old Airport Road,"Chinese, Continental",1800
Goofy's,3.2,8,Indiranagar,Finger Food,1000
Sea Lions BBQ & Grills,4.6,538,Jayanagar,"North Indian, Chinese, Mughlai, Mexican, Bbq",1100
Subz,4.2,2025,Jayanagar,"North Indian, South Indian",1000
1947,4.1,2309,Jayanagar,"North Indian, Chinese",950
Cable Car,4.3,1247,Jayanagar,"North Indian, Italian",1000
Chutney Chang,4.1,2342,Jayanagar,"North Indian, Chinese, Bbq",1500
Empire Restaurant,4.4,4892,Jayanagar,"North Indian, Mughlai, South Indian, Chinese",750
Samskruti - Sanman Gardenia,4.0,140,Jayanagar,"North Indian, Chinese, South Indian",550
The Sofraah Kebabs & Kurries - Eden Park Restaurants,3.8,176,Jayanagar,"North Indian, Afghan",1350
AB's - Absolute Barbecues,4.9,6404,Btm,"European, Mediterranean, North Indian, Bbq",1600
Deja Vu Resto Bar,4.4,2496,Bannerghatta Road,"North Indian, Italian",900
Barbeque Nation,4.7,3855,Jp Nagar,"North Indian, European, Mediterranean, Bbq, Kebab",1600
Sattvam,4.3,357,Jp Nagar,"North Indian, South Indian",1200
Village - The Soul of India,4.1,2461,Jp Nagar,"Rajasthani, Gujarati, North Indian, South Indian",1000
24th Main,4.1,1239,Jp Nagar,"North Indian, South Indian, Chinese",800
Zaitoon,4.1,1547,Jp Nagar,"Bbq, Arabian, Chinese, North Indian, Desserts",1000
Jalsa,4.1,783,Banashankari,"North Indian, Mughlai, Chinese",800
Oye Amritsar,3.8,763,Jp Nagar,North Indian,600
Nouvelle Garden,3.7,203,Jp Nagar,"North Indian, Continental, Italian",900
The Maori - Aurick Boutique Hotel,3.5,44,Jp Nagar,"Chinese, North Indian",1000
Tea Villa Cafe,4.2,656,Jayanagar,"Cafe, Continental, Mediterranean, Italian, Desserts",800
Cafe Cosy,4.1,113,Jayanagar,"Cafe, Chinese, Continental, Fast Food",800
Dr. Sheesha,4.1,1445,Jp Nagar,"Cafe, Chinese, Continental, Italian",800
Go Native,4.3,1265,Jayanagar,"Healthy Food, Cafe, Beverages",800
Alchemy Coffee Roasters,4.2,713,Jayanagar,Cafe,500
Enerjuvate Studio & Cafe,4.2,738,Jayanagar,"Cafe, Continental, Beverages, Healthy Food, Desserts, Sandwich, Pizza, Salad",800
Fabcafe,3.5,11,Jayanagar,"Cafe, Healthy Food",800
The Caramelts Cafe,4.1,226,Jayanagar,"Cafe, Salad, Wraps, Beverages",800
SlimSins Cafe,4.1,710,Jayanagar,"Cafe, Healthy Food",850
Cafe Ajfan,4.2,265,Jayanagar,"Cafe, Continental, Beverages",700
Krazzy Folds,4.3,1907,Jayanagar,"Cafe, Continental, Sandwich, Beverages",800
The Blue Wagon - Kitchen,4.6,233,Jayanagar,"Cafe, Beverages",400
36th Cross Coffee Mane,3.6,19,Jayanagar,"South Indian, Chinese, Beverages, Cafe, Coffee, Fast Food, Momos, North Indian",200
Grazers,3.9,295,Jayanagar,"Cafe, Burger, Continental, Italian, Desserts",650
Java City,2.5,157,Jayanagar,"Cafe, American, Pizza",450
Cafe Coffee Day,2.9,33,Jayanagar,Cafe,650
People Tree Cafe,3.7,167,Jayanagar,"Cafe, Fast Food, Beverages",400
Slate Cafe,4.1,53,Jp Nagar,"Cafe, Sandwich, Burger",600
Skyline Pizzeria,3.9,764,Jp Nagar,"Cafe, Bakery, Italian",600
Cafe Shuffle,4.2,152,Banashankari,"Cafe, Italian, Continental",600
D View Cafe,4.0,510,Jp Nagar,"Cafe, Italian, Chinese, Beverages",1000
Onesta,4.4,4410,Jp Nagar,"Pizza, Cafe, Italian",600
Smoor,3.6,17,Bannerghatta Road,"Desserts, Cafe, Beverages",900
Pancuzzi,4.2,170,Jp Nagar,"Cafe, Beverages, Desserts",600
TAB - Take A Break,4.1,522,Jp Nagar,"Cafe, Continental, Italian",550
Kirthi's Biryani,3.8,145,Banashankari,"Chinese, Cafe, Italian",700
On The Nose,3.8,614,Btm,"Cafe, Italian, Mexican, Chinese",600
"Malnad Blossom, Coffee & Cream",3.8,33,Jp Nagar,Cafe,300
PHEW (Play Hard Eat Wild),3.9,488,Btm,"Continental, Lebanese, Middle Eastern, North Indian, Chinese, Bbq, Cafe",700
eat.fit,4.5,1187,Btm,"Healthy Food, North Indian, Biryani, Continental, Sandwich, Desserts",500
Fish Chain,4.1,52,Btm,"Seafood, Bbq, Biryani",250
Swadista Aahar,4.1,786,Btm,"South Indian, North Indian, Chinese, Street Food",300
Gogula's Sweets & Chats,4.0,203,Btm,"Mithai, Street Food, Fast Food",200
Easy Bites,4.0,75,Btm,"Fast Food, Sandwich",300
Hiyar Majhe Kolkata,3.9,248,Btm,"Bengali, North Indian",400
Empire Restaurant,3.8,100,Btm,"Kerala, Seafood, South Indian, Chinese, North Indian, Charcoal Chicken, Beverages",400
FreshMenu,3.8,630,South Bangalore,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450
Fattoush,4.2,1280,Btm,"Arabian, Mughlai, Biryani, North Indian, Chinese, Seafood",900
Al-Bek,3.9,175,Btm,"Biryani, North Indian, Charcoal Chicken, Chinese, Seafood, Rolls",450
XO Belgian Waffle,4.5,557,Btm,"Desserts, Beverages",400
Chettayees,3.4,151,Btm,"Kerala, North Indian, Chinese",400
Five Star Chicken,3.4,130,Banashankari,"Roast Chicken, Burger",300
Sri Ganesh Juice Junction,4.1,212,Koramangala 8Th Block,"Beverages, Juices, Fast Food",150
Leon Grill,4.3,164,Koramangala 5Th Block,"Burger, Fast Food",500
Maa'r Rannaghor,3.8,22,Jp Nagar,"Bengali, Chinese",400
CakeZone,4.1,16,Btm,"Bakery, Desserts",200
Khatta Meetha Teekha,4.2,190,Koramangala 6Th Block,"Street Food, North Indian, Mithai, Chinese, Beverages",300
New Tasty Cafeteria,3.8,376,Btm,"North Indian, Kerala",500
Sri Guru Kottureshwara Davangere Benne Dosa,4.1,562,Basavanagudi,South Indian,150
Capsicum Family Restaurant,3.8,256,Btm,"Biryani, North Indian",800
Kannur Food Point,3.7,215,Btm,"Kerala, Chinese",200
BOX8- Desi Meals,4.3,248,Jp Nagar,"North Indian, Mughlai, Fast Food",500
Wok Paper Scissors,4.3,1588,Koramangala 5Th Block,"Asian, Malaysian, Chinese, Thai, Momos",550
Sri Lakshmi Dhaba,2.9,258,Btm,North Indian,250
Just Shawarma,4.0,412,Koramangala 5Th Block,Arabian,300
Energy Addaa,4.2,67,Basavanagudi,"Salad, Healthy Food, Sandwich, Juices, Burger, Desserts, Pizza",500
Dev Sagar - Food Street,4.1,239,Basavanagudi,Street Food,200
Apna Punjab,3.7,476,Btm,"North Indian, Chinese, Fast Food",450
Beijing Bites,3.8,17,Btm,"Chinese, Thai, Momos",400
Subway,3.7,219,Koramangala 5Th Block,"Salad, Fast Food",600
Kitchens@BTM,3.9,225,Btm,"Biryani, Kerala, Mughlai, Street Food, North Indian, Chinese, South Indian, Andhra",400
Shanmukha,4.0,776,Koramangala 5Th Block,"Biryani, Andhra, North Indian, Chinese",800
Kalingas,3.9,181,Btm,"Oriya, Fast Food",250
Biryani Pot,3.8,1073,Btm,Biryani,500
Muthashy's,4.2,466,Btm,"Kerala, South Indian, Chinese",400
Bhukkhad Baba,3.6,132,Jp Nagar,"North Indian, Beverages",250
House Of Kebabs,3.8,541,Basavanagudi,"North Indian, Kebab, Biryani, Chinese",700
Madeena Hotel,3.9,89,Koramangala 5Th Block,"North Indian, Mughlai, Biryani",400
Corner House Ice Cream,4.4,827,Jayanagar,"Ice Cream, Desserts",400
Ilyazsab The House Of Chicken,4.0,118,Btm,"Rolls, Kebab",250
MRA,4.0,22,Btm,Bakery,200
A2B - Adyar Ananda Bhavan,4.2,38,Btm,"South Indian, North Indian, Street Food",200
Mysuru Coffee Thindi,4.1,304,Jayanagar,"South Indian, Coffee",200
Smoke-A-Pot,3.5,93,Jp Nagar,"Biryani, Kebab, Rolls",600
Wamama,4.2,357,Banashankari,"Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",800
Namma Biriyani,3.7,15,Koramangala 5Th Block,"Biryani, Chinese, North Indian",250
Delight Food,2.6,174,Btm,"Andhra, Chinese, Biryani",450
Al Diwan Biryanis And More,3.2,12,Basavanagudi,Biryani,300
Burger King,3.9,1045,Koramangala 7Th Block,"Burger, Fast Food, Beverages",600
Kabab Magic,3.9,984,Jayanagar,"North Indian, Kebab, Fast Food",500
99 Pancakes,4.5,339,Koramangala 5Th Block,"Desserts, Cafe",300
Dum Biryani Hub,3.9,65,Btm,Biryani,700
Chicken Magic,3.7,211,Btm,"Chinese, North Indian",300
Chinese Kitchen,3.8,59,Basavanagudi,Chinese,150
Vijayalakshmi,4.0,49,Basavanagudi,South Indian,200
The Good Bowl,3.7,6,Jp Nagar,"Italian, North Indian, Biryani",500
Swad Punjab Da,4.0,130,Btm,North Indian,150
Smacznego,4.2,505,Banashankari,"Cafe, Mexican, Italian, Momos, Beverages",550
Lassi Corner,3.7,108,Basavanagudi,"Beverages, Ice Cream",150
The Biriyani Pedia,3.9,57,Btm,Biryani,300
SL Vadapav,4.0,80,Jayanagar,Maharashtrian,100
Adithya,4.0,335,Jp Nagar,"South Indian, North Indian, Chinese",300
Night Biryani,3.2,21,Btm,"Biryani, North Indian",600
Bohra Bohra CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,3.5,49,Jp Nagar,Bohri,300
New Mahesh Friends Food Corner,3.2,50,Btm,"North Indian, Chinese",300
Magix's Parattha Roll,3.8,184,Btm,"Fast Food, North Indian, Chinese, Mughlai, Rolls",400
KFC,4.0,351,Btm,"Burger, Fast Food",400
Kababs N Biryani,3.4,23,Banashankari,South Indian,200
Roti Ghar,3.9,753,Basavanagudi,"North Indian, Chinese, South Indian",500
Shaadi Ki Biryani,3.1,31,Btm,"Biryani, North Indian, Mughlai",400
Savoury Restaurant,3.9,421,Btm,"Arabian, North Indian, Chinese, Fast Food",800
Onesta,4.6,2604,Banashankari,"Pizza, Cafe, Italian",600
Namma Brahmin's Idli,3.7,38,Jayanagar,South Indian,100
Sri Punjabi Dhaba,3.3,47,Btm,North Indian,400
Keventers,3.9,211,Jayanagar,"Desserts, Beverages, Ice Cream",400
Krishna Sagar,3.8,52,Btm,"South Indian, North Indian, Chinese",300
Tandoori Paradise,3.6,8,Btm,"North Indian, Chinese",600
Cheesiano Pizza,4.0,206,Jp Nagar,"Pizza, Italian",700
Cakewala,4.1,232,Jp Nagar,"Bakery, Desserts",500
Hari Super Sandwich,4.0,15,Btm,"Sandwich, Fast Food",100
Puliyogare Point,4.2,449,Basavanagudi,South Indian,100
Kedia's Fun Food,4.3,632,Jayanagar,"North Indian, Street Food, Juices",200
Burj Hotel,3.5,57,Bannerghatta Road,"North Indian, Chinese",350
Mojo Pizza - 2X Toppings,4.2,369,Jp Nagar,Pizza,600
Sri Udupi Food Hub,4.1,176,Jayanagar,"South Indian, North Indian, Chinese, Beverages",500
Mad Over Donuts,4.2,703,Koramangala 7Th Block,"Bakery, Desserts, Beverages",450
Karama Restaurant,3.7,11,Btm,Arabian,400
C. K. Mega Hot Food,3.9,101,Btm,"Chinese, Momos",600
Dadi's Dum Biryani,4.1,2725,Btm,"Biryani, North Indian, Mughlai",800
Mahesh Friends Food Center,2.9,132,Btm,"Chinese, North Indian",300
Pathaan Sir,3.9,183,Btm,"Rolls, Chinese",300
Kanti Sweets,4.1,113,Btm,"Mithai, Street Food",400
Warm Oven,3.9,28,Koramangala 7Th Block,"Bakery, Desserts",500
Chicken County Grand,3.9,323,Bannerghatta Road,"North Indian, Chinese",650
Prasiddhi Food Corner,3.7,171,Jp Nagar,"Fast Food, North Indian, South Indian",200
Noodle Panda,4.3,338,Koramangala 5Th Block,"Chinese, Indonesian, Japanese, Malaysian, Thai, Vietnamese, Momos",800
Galito's,4.6,409,Bannerghatta Road,"African, Burger",1000
Delite Chaat House,3.9,499,Koramangala 6Th Block,"Street Food, Gujarati",300
Fresh Kitchen,3.3,23,Bannerghatta Road,"North Indian, Chinese",600
Chai Point,3.2,209,Jayanagar,"Tea, Beverages, Fast Food",250
Roll Over,4.1,240,Jp Nagar,"Ice Cream, Beverages, Fast Food",500
Twiststick House,4.1,164,Basavanagudi,"Continental, Fast Food, Street Food, Momos",500
Yum In My Tum,4.2,103,Btm,"Chinese, Continental, Fast Food, Healthy Food",300
Wahab,3.7,98,Jayanagar,"North Indian, Mughlai, Chinese",350
Bathinda Tandoor,3.7,40,Btm,North Indian,300
Sree Krishna Kafe,4.2,971,Koramangala 5Th Block,South Indian,200
Amontron,3.9,439,Btm,Bengali,650
Chokha Chowka,3.9,358,Btm,"North Indian, Chinese",400
Patio 805,4.1,367,Jayanagar,"Thai, Vietnamese, Asian, Chinese",1200
Eagles Pizza,3.7,17,Koramangala 7Th Block,"Pizza, Italian",400
Afghani Tandoori Hub,3.7,14,Btm,"Arabian, Afghan",400
Barbeque Station,2.8,152,Koramangala 7Th Block,"North Indian, Chinese, Bbq",700
Dosa Plaza,3.8,140,Koramangala 5Th Block,"South Indian, North Indian, Chinese, Beverages",200
Bangalore Agarwal Bhavan,3.9,137,Jayanagar,"Street Food, North Indian, South Indian",400
Tarbouche,4.1,268,Koramangala 5Th Block,"Turkish, Rolls",300
Taaza Mithai,3.9,48,Jp Nagar,"Mithai, Street Food",100
Vinny's,4.2,2123,Banashankari,"Pizza, Italian, Continental, Desserts",800
Beer Adda,4.2,543,Koramangala 5Th Block,"North Indian, Chinese, Pizza",1000
Brownie Heaven,3.9,18,Koramangala 5Th Block,Desserts,300
Lassi Shop,3.9,38,Jp Nagar,"Beverages, Ice Cream",200
Ambur Star Briyani,3.7,118,Btm,"Biryani, Kebab",400
Stories,4.2,2211,Jp Nagar,"American, Chinese, Continental, North Indian",1200
Tibetan Mother's Kitchen,4.0,958,Koramangala 7Th Block,"Tibetan, Chinese, Momos",500
Kundana,3.8,111,Bannerghatta Road,"Andhra, Biryani",800
Stoned Monkey,4.1,511,Koramangala 6Th Block,"Desserts, Ice Cream",500
Tall Blonde French,4.3,723,Koramangala 5Th Block,Fast Food,400
Jaganath Hotel and Restaurant,3.7,35,Jp Nagar,"North Indian, Chinese",200
Bombay Talkies,3.7,21,Jayanagar,"Maharashtrian, Fast Food, Street Food, Sandwich",200
Odissi Restaurant,2.9,67,Btm,"Oriya, Bengali",500
WTF,4.1,93,Koramangala 5Th Block,"Cafe, Continental",600
Rustic Stove,3.8,579,Jayanagar,"North Indian, South Indian, Biryani, Beverages",900
Samosa Singh,3.5,4,Jp Nagar,"North Indian, Mithai",250
Cafe Zone,3.9,152,Kumaraswamy Layout,"Fast Food, Chinese, Rolls",300
Poha House,3.6,7,Btm,Maharashtrian,200
Sri Sai 99 Variety Dosa,3.6,38,Jayanagar,South Indian,300
Makers of Milkshakes,4.2,55,Koramangala 5Th Block,Beverages,400
Mealer.in,4.0,207,Jp Nagar,"North Indian, Biryani",450
Smally's Resto Cafe,4.2,1700,Koramangala 5Th Block,"Cafe, Italian, Burger, American, Steak",650
Keto Kitchen,3.6,17,Koramangala 7Th Block,"Healthy Food, Pizza, Italian, South Indian, North Indian",500
Cold Stone Creamery,3.9,102,Bannerghatta Road,"Ice Cream, Desserts",400
Kannoor Restaurant,3.1,18,Btm,"Kerala, Chinese, South Indian, North Indian",700
RB Food Point,3.7,35,Btm,"North Indian, Chinese",300
Tenzin Kitchen,4.2,529,Koramangala 7Th Block,"Tibetan, Chinese, Momos",450
Maggi N Maggi House,3.4,23,Bannerghatta Road,Fast Food,300
Shawarma Inc,3.2,31,Banashankari,"Rolls, Lebanese",250
Protein Grillhouse,4.2,179,Jayanagar,"Healthy Food, Continental, Juices, Salad, Burger, Beverages, Desserts",800
Chai Street,3.3,5,Koramangala 5Th Block,Beverages,150
The Milkshake Theory,4.0,48,Koramangala 5Th Block,"Beverages, Fast Food",400
Gorbandh,4.0,85,Btm,"Fast Food, North Indian",400
Punjabi by Nature 2.0,4.2,3236,Btm,North Indian,1600
Axomi - Taste of Assam,4.1,613,Koramangala 7Th Block,Assamese,500
Bhojohori Manna,3.7,666,Jp Nagar,"Bengali, Mughlai",650
Darshan Paradise Restaurant,3.6,15,Btm,"North Indian, Chinese",250
Pin Me Down,4.5,803,Btm,"Continental, Mexican, Chinese, North Indian",800
Taco Bell,4.0,910,Bannerghatta Road,"Mexican, American, Fast Food",600
Ishta Cafe,3.9,42,Jayanagar,"Pizza, South Indian, Healthy Food",500
Slate Cafe,4.1,55,Jp Nagar,"Cafe, Sandwich, Burger",600
Stoner,4.5,2608,Koramangala 5Th Block,"Ice Cream, Cafe, Pizza, Burger, Desserts, Beverages",500
Nuts Over Salads Cafe,4.4,201,Koramangala 5Th Block,"Cafe, Salad",800
Cafe Alchemist,3.8,62,Btm,"Fast Food, Juices",300
The Waffles Hut,3.8,23,Koramangala 5Th Block,Desserts,400
Chilli Flakes,3.6,47,Banashankari,"Fast Food, Italian, Beverages",500
Dwaraka Krishna,3.7,328,Btm,"North Indian, Biryani, Chinese",500
Lassi Darbar,3.6,12,Btm,"Ice Cream, Juices, Beverages",200
Agarwal Food Service,3.8,268,Bannerghatta Road,"North Indian, Chinese, Biryani",400
Koramangala Social,4.6,4675,Koramangala 7Th Block,"American, North Indian, Chinese, Finger Food",1500
Roundup Cafe,4.2,488,Koramangala 5Th Block,"Cafe, Continental, Beverages",800
Mystique Palate,4.1,339,Jayanagar,"Chinese, Fast Food",300
Brewsky,4.3,4321,Jp Nagar,"Continental, American",1600
McDonald's,3.8,295,Koramangala 5Th Block,"Burger, Fast Food",500
UP Style North Indian Food,3.6,47,Jayanagar,North Indian,100
Cool Corner,4.2,192,Basavanagudi,"Street Food, Fast Food",250
Awesome Foods,3.7,25,Btm,"Chinese, North Indian",300
Manchu Cafe,3.8,23,Btm,"Chinese, Fast Food, Asian, Beverages, Nepalese, Tibetan",300
Tiwari's,3.8,69,Jayanagar,"North Indian, Street Food",200
Oogway Express,3.9,349,Jp Nagar,"Chinese, Thai, Momos",600
Rajveena Kitchen,3.7,28,Btm,"North Indian, Fast Food, Biryani, Chinese",500
Food And You,3.9,34,Btm,"North Indian, South Indian, Gujarati",350
Lassi Berg,3.5,13,Btm,Juices,100
Vakulaa Veg Restaurant,3.9,52,Jayanagar,"South Indian, North Indian",200
Ande Ka Funda,3.9,121,Banashankari,"North Indian, Fast Food, Rolls",250
Malabar Bay,4.2,1541,Btm,"Kerala, Seafood, Chinese, Biryani, Juices",800
Lassi Corner,3.5,16,Koramangala 5Th Block,"Beverages, Desserts",300
Eurasia Pasta and Barbeque by Little Italy,4.1,1064,Jayanagar,"Italian, Fast Food, Salad, Bbq",1200
Boston Barista - Kappayum Curriyum,3.6,64,Btm,Kerala,350
Kairali,3.9,171,Btm,"Kerala, South Indian, Seafood, Biryani",300
Bamey's Restro Cafe,4.2,533,Koramangala 5Th Block,"Chinese, Singaporean, Thai, Asian, Nepalese, Momos",600
Canton,3.6,197,Jayanagar,"Chinese, Seafood, Biryani",800
Pure & Natural,3.9,212,Jayanagar,"Healthy Food, Beverages, Fast Food",500
Cravy Wings,4.3,289,Bannerghatta Road,"American, Burger, Fast Food",400
Frozen Bottle,4.2,147,Banashankari,"Beverages, Desserts, Ice Cream",400
WOW! Momo,2.8,91,Btm,"Tibetan, Momos",400
Soup Station,3.7,11,Bannerghatta Road,Continental,250
Friend's Cafe,3.9,554,Koramangala 7Th Block,"Fast Food, American, Chinese",600
The Paramount Hotel,3.5,240,Koramangala 5Th Block,"North Indian, Seafood, Biryani, Kerala",1000
Pancuzzi,4.2,171,Jp Nagar,"Cafe, Beverages, Desserts",600
El Salver,3.9,74,Btm,"North Indian, Fast Food, South Indian",700
Asha Sweets Centre,3.6,28,Basavanagudi,"Mithai, Street Food",250
Nandhanu's Rasoi,3.0,178,Kumaraswamy Layout,"Chinese, North Indian",400
Chef Delicacies,3.1,6,Btm,"Kebab, Rolls",400
Bhavani Chats N Juice,3.9,93,Jayanagar,"Beverages, Street Food",200
Delhi Biryani Cafe,3.4,10,Btm,"North Indian, Biryani",250
LIT Gastro Pub,3.7,206,Jayanagar,"Chinese, Continental, Burger, Pizza",1000
1722 Urban Bistro,4.1,220,Koramangala 5Th Block,"North Indian, Chinese, Fast Food, Biryani",600
Bake Addiction,4.1,91,Jp Nagar,"Bakery, Desserts",500
Cream Stone,4.2,340,Koramangala 5Th Block,"Desserts, Beverages",500
Ice Cafe & Lassi Shop,3.6,27,Btm,"Beverages, Juices",100
San Churro Cafe,3.8,924,Banashankari,"Cafe, Mexican, Italian",800
Dosa Bazaar,3.9,113,Jp Nagar,"Street Food, South Indian",200
The Egg Factory,4.0,1310,Jp Nagar,"Continental, American",750
Punjabi Swag,3.9,676,Btm,North Indian,500
Sukh Sagar,3.8,156,Jayanagar,"South Indian, North Indian, Chinese, Street Food",450
Steaming Mugs,4.0,241,Basavanagudi,Cafe,700
Rock Stone Ice Cream Factory,4.0,131,Btm,Ice Cream,230
Behrouz Biryani,4.0,190,Jp Nagar,Biryani,650
Toscano,4.5,715,Koramangala 7Th Block,"Italian, Salad",1500
Zeeshan,3.1,320,Jp Nagar,"North Indian, Kebab, Biryani, Rolls",700
Sai Abhiruchi,3.8,339,Btm,"Andhra, North Indian, Biryani",800
Mulabagilu Dosa,3.6,12,Basavanagudi,South Indian,100
The House Of Paratha,3.7,59,Koramangala 5Th Block,North Indian,200
S M V Snacks Corner,3.7,34,Basavanagudi,Fast Food,200
Kaapi Kendra,3.7,16,Jayanagar,South Indian,100
Cafe Coffee Day,3.1,25,Banashankari,"Cafe, Fast Food",900
Ice Cream Works,4.1,193,Jayanagar,"Desserts, Ice Cream",300
Sri Rajasthani Foods,3.6,12,Jp Nagar,"Rajasthani, North Indian",200
Sandwich Mama's And Frozen Monster,3.8,55,Jayanagar,"Ice Cream, Beverages, Fast Food",250
Brooks and Bonds Brewery,4.4,3932,Koramangala 5Th Block,"Continental, Mediterranean, North Indian, Chinese, Finger Food",1600
Rajathadri Food Fort,4.0,468,Jayanagar,"South Indian, North Indian, Chinese, Street Food",600
Hungerbreak 24x7,3.0,7,Koramangala 8Th Block,"North Indian, South Indian, Maharashtrian",500
